Machine Name,Down Time Reason,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,01-Jun,02-Jun,03-Jun,04-Jun,05-Jun,06-Jun,Grand Total
6AB,Empty trolley Not available,,,,,,,,,,,,,,757,,0,757
,Insufficient Manpower,,,,,,,,,,,,,,238,,,238
,Lost due to one glue Gun is breakdown,,,,22,,,,,,,,,,,,,22
,Non-availability of Foam,,,,,,,,,550,603,,,,,,,1153
MG-D90,Glue Machine Not available,,,,,,,,,,,,832,419,,,0,1251
,Inefficiency of glue gun,,,,,,,,,,,582,,,,,,582
,Insufficient Manpower,46,,,,,,770,,,,,,,,,,816
,Lost due to one glue Gun is breakdown,,,,,,,,867,,,,,,,,,867
,Non-availability of Foam,,,,,,,,,81,,,,,,,,81
Nexon PR,Empty trolley Not available,,,,,,,,,,,,,1069,,16,,1085
,Glue Machine Not available,,,,,,,,,,,,199,14,,,,213
,Inefficiency of glue gun,,,,,,,,,,,,,,,517,,517
,Lost due to one glue Gun is breakdown,,,,116,,,,,,,,23,10,,15,,164
,Non-availability of Foam,,,160,,,,,,,,,,,,,,160
,Senssor Issue,,13,,40,,,,,,,,,,,,,53
Nexon SR,Glue Machine Not available,,,,,,,,,,,,85,15,,,0,100
,Lost due to one glue Gun is breakdown,,17,,3,,,,,,,,,,707,,,727
,Lunch time,,,,,,,,,,,,,6,,,,6
,Senssor Issue,,17,,,,,,,,,,,,,,,17
,The team stopped the line as they were engaged in vehicle loading.,,,,,107,,,,,,,,,,,,107
,Time lost due to team transfer X0 to 6Air Bag Assembly,,5,,51,,104,,,,131,,,,,,,291
,transfer SR to PR,,,,,,,,,,,,,318,,,,318
,Grand Total,46,52,160,232,107,104,770,867,631,734,582,1139,1851,1702,548,0,9525
,,,,,,,,,,,,,,,,,,
,,0 hr 46 min,0 hr 52 min,2 hr 40 min,3 hr 52 min,1 hr 47 min,1 hr 44 min,12 hr 50 min,14 hr 27 min,10 hr 31 min,12 hr 14 min,9 hr 42 min,18 hr 59 min,30 hr 51 min,28 hr 22 min,9 hr 8 min,0 hr 0 min,
